"","Year","Month","Run","Salvage.Total","Total.Exports","OMR","Total.exports.z","OMR.z","Discharge.z"
"605",2005,"March","LateFall",0,6997.064516,-1725.032258,0.744865006626751,-0.459519014852969,-0.0593267433593473
"606",2005,"March","Fall",1332,6997.064516,-1725.032258,0.744865006626751,-0.459519014852969,-0.0593267433593473
"607",2005,"March","Spring",3065,6997.064516,-1725.032258,0.744865006626751,-0.459519014852969,-0.0593267433593473
"608",2005,"March","Winter",228,6997.064516,-1725.032258,0.744865006626751,-0.459519014852969,-0.0593267433593473
"609",2005,"May","Winter",0,2942.633333,1710.129032,-0.632908930214144,0.258920784786604,0.477888381167073
"610",2005,"May","Spring",4166,2942.633333,1710.129032,-0.632908930214144,0.258920784786604,0.477888381167073
"611",2005,"May","LateFall",0,2942.633333,1710.129032,-0.632908930214144,0.258920784786604,0.477888381167073
"612",2005,"May","Fall",9671,2942.633333,1710.129032,-0.632908930214144,0.258920784786604,0.477888381167073
"625",2006,"April","LateFall",0,3536.4000003,12837,-0.431135561313232,2.58602751253658,2.44237570605261
"626",2006,"April","Fall",133,3536.4000003,12837,-0.431135561313232,2.58602751253658,2.44237570605261
"627",2006,"April","Spring",2278,3536.4000003,12837,-0.431135561313232,2.58602751253658,2.44237570605261
"628",2006,"April","Winter",55,3536.4000003,12837,-0.431135561313232,2.58602751253658,2.44237570605261
"641",2006,"January","Spring",0,7114.290322,-333.0357143,0.784700597105921,-0.16839273764844,1.88218756633263
"642",2006,"January","LateFall",7,7114.290322,-333.0357143,0.784700597105921,-0.16839273764844,1.88218756633263
"643",2006,"January","Winter",131,7114.290322,-333.0357143,0.784700597105921,-0.16839273764844,1.88218756633263
"644",2006,"January","Fall",971,7114.290322,-333.0357143,0.784700597105921,-0.16839273764844,1.88218756633263
"649",2006,"June","Fall",29604,6994.2,1300.5,0.743891588825751,0.173249756607129,-0.183027594401615
"650",2006,"June","LateFall",0,6994.2,1300.5,0.743891588825751,0.173249756607129,-0.183027594401615
"651",2006,"June","Spring",639,6994.2,1300.5,0.743891588825751,0.173249756607129,-0.183027594401615
"652",2006,"June","Winter",0,6994.2,1300.5,0.743891588825751,0.173249756607129,-0.183027594401615
"653",2006,"March","Fall",306,5983.548387,551.3935484,0.400452672546675,0.0165794161014536,2.11073961492501
"654",2006,"March","LateFall",0,5983.548387,551.3935484,0.400452672546675,0.0165794161014536,2.11073961492501
"655",2006,"March","Winter",606,5983.548387,551.3935484,0.400452672546675,0.0165794161014536,2.11073961492501
"656",2006,"March","Spring",437,5983.548387,551.3935484,0.400452672546675,0.0165794161014536,2.11073961492501
"657",2006,"May","Fall",3761,3703.967742,11486.12903,-0.374192809852171,2.30350235953985,1.03748746921543
"658",2006,"May","LateFall",0,3703.967742,11486.12903,-0.374192809852171,2.30350235953985,1.03748746921543
"659",2006,"May","Spring",3003,3703.967742,11486.12903,-0.374192809852171,2.30350235953985,1.03748746921543
"660",2006,"May","Winter",6,3703.967742,11486.12903,-0.374192809852171,2.30350235953985,1.03748746921543
"697",2007,"June","LateFall",0,2838.2666663,-2434.1,-0.668374737071871,-0.607815541125645,-0.797408487911546
"698",2007,"June","Spring",0,2838.2666663,-2434.1,-0.668374737071871,-0.607815541125645,-0.797408487911546
"699",2007,"June","Winter",0,2838.2666663,-2434.1,-0.668374737071871,-0.607815541125645,-0.797408487911546
"700",2007,"June","Fall",375,2838.2666663,-2434.1,-0.668374737071871,-0.607815541125645,-0.797408487911546
"705",2007,"May","Fall",575,1322.3548387,-1297.032258,-1.18351082209742,-0.370005828051269,-0.918105175428502
"706",2007,"May","Spring",111,1322.3548387,-1297.032258,-1.18351082209742,-0.370005828051269,-0.918105175428502
"707",2007,"May","Winter",0,1322.3548387,-1297.032258,-1.18351082209742,-0.370005828051269,-0.918105175428502
"708",2007,"May","LateFall",0,1322.3548387,-1297.032258,-1.18351082209742,-0.370005828051269,-0.918105175428502
"729",2008,"December","Fall",0,2705.709677,7.129032258,-0.713420159416048,-0.0972496757278817,-0.926646424667134
